,Time,S&H,ECE,CSE,EEE,CT,AUTO,Total
0,2022-01-01 00:00:00,7.557972453036763,2.6087589413062453,4.720240440221542,0.09501778334165989,5.705912233815815,9.654012941231834,30.34191479295386
1,2022-01-01 00:00:01,1.356161821855305,9.671563306110645,2.7607790627992768,2.6258340839531877,3.086385539627454,4.663549537870755,24.16427335221662
2,2022-01-01 00:00:02,7.686426905004554,6.351908547492649,1.8465429631673291,8.340312852403658,2.3169446759333034,4.901336245541409,31.443472189542902
3,2022-01-01 00:00:03,5.6903174248887485,3.3132065425453305,5.579676563079865,0.9779065314479662,4.585821809762697,4.575295876705036,24.72222474842964
4,2022-01-01 00:00:04,4.5643086512592825,0.42410205800286094,2.1389653572296776,3.907381919264463,2.7022395269686026,1.3460142980052503,15.083011810730138
5,2022-01-01 00:00:05,5.579597908325347,4.093520630347055,8.53870515461849,1.6413137524090993,0.23602781823548358,9.978076403421761,30.067241667357237
6,2022-01-01 00:00:06,0.18424619002412768,5.853923992028217,8.595930819110858,1.3065281933709039,2.206438119156009,5.899524010813489,24.046591324503606
7,2022-01-01 00:00:07,0.24327495699861146,4.107247892676601,3.5673136258080373,0.07307651929415182,9.586724994767124,9.198487156974805,26.776125146519334
8,2022-01-01 00:00:08,8.19750811904916,7.152778261658467,7.038011207004505,1.2289013675146088,4.095567776774129,3.0412823858005744,30.754049117801443
9,2022-01-01 00:00:09,6.971957414998309,5.299045725867286,9.541117764178127,5.7413430875201845,7.221515787874008,5.4774522844105995,40.25243206484852
10,2022-01-01 00:00:10,9.761192356856931,8.49405238241093,8.8946912157578,9.40437199743023,7.5931330687599665,8.821242196165803,52.96868321738167
11,2022-01-01 00:00:11,2.963125908118988,6.150361352884289,4.528837814980066,1.8550622124987914,2.955364237311966,4.174958436226967,22.62770996202107
12,2022-01-01 00:00:12,7.8162706681375145,9.427149161856182,4.0716469842781144,2.5185076346996005,9.965036323840286,9.205938769945478,43.004549542757175
13,2022-01-01 00:00:13,0.05297632817303777,6.773245245225254,8.075142742495856,8.50217985841849,1.9096807249128533,3.658549236862283,28.97177413608777
14,2022-01-01 00:00:14,8.912064033593623,2.128803576793791,3.903142976727038,0.6008327287191828,8.082774771476318,6.275065370119858,29.902683457429813
15,2022-01-01 00:00:15,6.091344252130636,6.908198506451626,4.671615114680739,9.542461841915753,5.126897427929549,7.548294282089447,39.888811425197744
16,2022-01-01 00:00:16,9.199884412632692,7.19223504209422,7.963541842740376,5.380187398794547,3.737334010695832,9.929997480382175,43.40318018733984
17,2022-01-01 00:00:17,2.4799180360927475,1.82557461439543,1.156585716864812,6.738418250478886,6.959325269627906,8.65635075841264,27.81617264587242
18,2022-01-01 00:00:18,6.341620036378565,6.874990131814896,8.934416415802295,8.555964600461568,1.4384130574170417,8.540137118875883,40.68554136075025
19,2022-01-01 00:00:19,7.954788390534107,4.964074414344239,8.974454062554877,7.986688036419123,7.153458956366409,7.210251155577114,44.243715015795864
20,2022-01-01 00:00:20,8.03603655235559,4.763189918049852,2.324890214986972,1.1682381601976433,3.1241140161503833,9.13947070226342,28.55593956400386
21,2022-01-01 00:00:21,9.263512683716652,1.2698524042678683,0.7647036809369923,1.6933676303054246,6.609818468884328,0.44582424779625485,20.047079115907522
22,2022-01-01 00:00:22,2.505889064208646,0.5327836645268824,6.492290594743531,7.796988763427364,4.23334624237267,0.919230656296689,22.480528985575788
23,2022-01-01 00:00:23,9.569318192990098,1.2586580738038544,9.460394899276327,3.663266720602957,0.5696044591243521,1.138836423425681,25.660078769223265
24,2022-01-01 00:00:24,2.949573932384779,3.2472867018244167,7.03961528707066,5.485214941833986,1.3728016742236737,5.850706743691325,25.94519928102884
25,2022-01-01 00:00:25,7.521383261007508,9.803570182391336,6.65986776806296,9.5432687690377,9.093452286099463,3.1102160110679957,45.73175827766696
26,2022-01-01 00:00:26,8.627708389082807,4.301339278904632,6.0263903118165825,9.519982207304004,0.5981957633269852,9.315124625677484,38.3887405761125
27,2022-01-01 00:00:27,3.6937304474517507,8.808798745079123,9.838377443475126,1.7444323954122631,9.785342028636803,9.883590358599605,43.754271418654675
28,2022-01-01 00:00:28,0.4523500788836088,4.891456051117942,5.986276980862211,4.566492292317658,4.655535778573617,7.257171518425059,27.8092827001801
29,2022-01-01 00:00:29,1.4161113818472904,3.640371086206301,4.869840248906778,1.4369712760687758,5.5231539984284925,1.9510175412866837,18.83746553274432
30,2022-01-01 00:00:30,2.6716856759204943,2.0198100563973465,6.184620017713854,7.597516670489732,9.794334899168902,9.959654894448736,38.22762221413906
31,2022-01-01 00:00:31,4.154889484692516,7.2305732984766555,2.8251998417540447,9.79907593618976,1.740427189133773,7.115479121640085,32.86564487188683
32,2022-01-01 00:00:32,8.652678569974945,9.984572868801086,8.78448227357146,9.76793483057336,2.4030351102778837,0.7048379348509071,40.29754158804965
33,2022-01-01 00:00:33,9.899388299535936,7.806860042006802,3.1088140266608058,6.54751720363556,2.4382426683300498,2.539656972303103,32.34047921247226
34,2022-01-01 00:00:34,2.985695202692469,1.4904145274392233,6.476977751628018,7.477042523235939,5.566860971827224,8.42325328692709,32.420244263749964
35,2022-01-01 00:00:35,0.7866983526061577,7.766661507410168,7.568458992735757,5.809903756016292,8.092770348684233,5.6796111941562835,35.70410415160889
36,2022-01-01 00:00:36,0.9339514500921742,7.645071114127225,7.741858651004788,1.200076358811154,8.764054774135264,0.6316534917665007,26.916665839937103
